snapped_at,price,market_cap,total_volume
2023-08-24 00:00:00 UTC,0.0025940138414443543,0.0,1901591.530122282
2023-08-25 00:00:00 UTC,0.0025940138414443543,0.0,1901591.530122282
2023-08-26 00:00:00 UTC,0.0029727986188012243,0.0,1268853.0548717002
2023-08-27 00:00:00 UTC,0.004382741546666718,0.0,1372440.0183430251
2023-08-28 00:00:00 UTC,0.003615662924086319,0.0,647596.4161831434
2023-08-29 00:00:00 UTC,0.0034676278441749765,0.0,768777.9082001519
2023-08-30 00:00:00 UTC,0.002606812262201976,0.0,2855977.100983395
2023-08-31 00:00:00 UTC,0.002275450668104192,0.0,782006.049189613
2023-09-06 00:00:00 UTC,0.003350655893339092,0.0,441642.0274452721
2023-09-07 00:00:00 UTC,0.003350655893339092,0.0,441642.0274452721
2023-09-08 00:00:00 UTC,0.003548964796598335,0.0,320555.90285337495
2023-09-09 00:00:00 UTC,0.002901422324441907,0.0,290608.3717859642
2023-09-10 00:00:00 UTC,0.002577001224636157,0.0,172557.01055910494
2023-09-11 00:00:00 UTC,0.0026433520494347548,0.0,203937.4666037831
2023-09-12 00:00:00 UTC,0.0020000963178922315,0.0,187689.60783810957
2023-09-13 00:00:00 UTC,0.002004771018901397,0.0,182963.441653559
2023-09-14 00:00:00 UTC,0.001764468331641879,0.0,224205.37976536655
2023-09-15 00:00:00 UTC,0.002047526063751571,0.0,241435.92735777076
2023-09-16 00:00:00 UTC,0.0024768295410922195,0.0,120909.53301419933
2023-09-17 00:00:00 UTC,0.0025172278193272236,0.0,164101.63226909365
2023-09-18 00:00:00 UTC,0.0021118981117519402,0.0,124775.33553279717
2023-09-19 00:00:00 UTC,0.00241680584432789,0.0,167406.5409890408
2023-09-20 00:00:00 UTC,0.0030012873030493504,0.0,227416.74931532878
2023-09-21 00:00:00 UTC,0.003359988962176613,0.0,346364.6351214216
2023-09-22 00:00:00 UTC,0.002722184390279094,0.0,312698.11286074633
2023-09-23 00:00:00 UTC,0.002904376076367787,0.0,144702.3000922336
2023-09-24 00:00:00 UTC,0.0029119140458873627,0.0,118832.2929339459
2023-09-25 00:00:00 UTC,0.004112277159026138,0.0,415471.1559455824
2023-09-26 00:00:00 UTC,0.0036261515158503357,0.0,318581.43278478796
2023-09-27 00:00:00 UTC,0.004639404150886038,0.0,435652.2848392519
2023-09-28 00:00:00 UTC,0.005953868448815702,0.0,865857.5974121181
2023-09-29 00:00:00 UTC,0.006689644797332904,0.0,1469748.9885284011
2023-09-30 00:00:00 UTC,0.007935839139748078,0.0,1392965.5662047302
2023-10-01 00:00:00 UTC,0.008816666028780836,0.0,747681.4201704805
2023-10-02 00:00:00 UTC,0.0144684403033357,0.0,1796722.815890552
2023-10-03 00:00:00 UTC,0.011330556052590455,0.0,1849026.391242289
2023-10-04 00:00:00 UTC,0.013027589395433518,0.0,1389389.1081288313
2023-10-05 00:00:00 UTC,0.0133950439665433,0.0,1564030.7776799006
2023-10-06 00:00:00 UTC,0.010984911188745188,0.0,1044741.2491679403
2023-10-07 00:00:00 UTC,0.013376752876659797,0.0,858112.6631729291
2023-10-08 00:00:00 UTC,0.01052398288616288,0.0,1350158.7811231352
2023-10-09 00:00:00 UTC,0.010665376228429708,0.0,737976.665803341
2023-10-10 00:00:00 UTC,0.008621006171290028,0.0,1001405.4174556521
2023-10-11 00:00:00 UTC,0.011338132169704356,0.0,559166.1142310284
2023-10-12 00:00:00 UTC,0.013105426281113023,0.0,670379.6660239479
2023-10-13 00:00:00 UTC,0.009589580226620664,0.0,636398.2975807801
2023-10-14 00:00:00 UTC,0.011018462278019501,0.0,624834.7480616743
2023-10-15 00:00:00 UTC,0.011141281903396413,0.0,421520.8296006382
2023-10-16 00:00:00 UTC,0.010121204346669395,0.0,260911.1358392129
2023-10-17 00:00:00 UTC,0.011574037832231023,0.0,596246.839974966
2023-10-18 00:00:00 UTC,0.014507460297472932,0.0,950377.9394210523
2023-10-19 00:00:00 UTC,0.01646135045112712,0.0,1319267.3819494427
2023-10-20 00:00:00 UTC,0.014228107591809709,0.0,1024124.0786067788
2023-10-21 00:00:00 UTC,0.01653673928571773,0.0,1256079.8716102429
2023-10-22 00:00:00 UTC,0.01829196032429757,0.0,943884.7415712805
2023-10-23 00:00:00 UTC,0.018679408010993482,0.0,1691584.9706267067
2023-10-24 00:00:00 UTC,0.0223856201268363,0.0,1118464.9719614354
2023-10-25 00:00:00 UTC,0.023422670353493852,0.0,1734604.476311731
2023-10-26 00:00:00 UTC,0.02658951137262787,0.0,1950781.4213954927
2023-10-27 00:00:00 UTC,0.024004400878708244,0.0,2562574.827979733
2023-10-28 00:00:00 UTC,0.021906621939852856,0.0,2124348.5517258695
2023-10-29 00:00:00 UTC,0.020610912445769014,0.0,868472.8718600295
2023-10-30 00:00:00 UTC,0.026365817744325826,0.0,1136832.881408055
2023-10-31 00:00:00 UTC,0.024415027114799377,0.0,1996752.371574116
2023-11-01 00:00:00 UTC,0.022566588725287,0.0,1650159.051538784
2023-11-02 00:00:00 UTC,0.018423590122530753,0.0,2906337.14438984
2023-11-03 00:00:00 UTC,0.014378063730862254,0.0,2396053.0969897117
2023-11-04 00:00:00 UTC,0.01876219863337653,0.0,936854.2944106049
2023-11-05 00:00:00 UTC,0.014615873049166768,0.0,735438.3984282333
2023-11-06 00:00:00 UTC,0.015415763466760065,0.0,492089.21464260184
2023-11-07 00:00:00 UTC,0.01564996982279485,0.0,585952.7195290668
2023-11-08 00:00:00 UTC,0.01148319420255211,0.0,1104916.4831559286
